Name,Department,Specialization,Profile Link
Dr  PRIYA STELLA MARY I,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/ODM4MA==/ODA0
Dr  PUNDIKALA VEERESHA,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/NDg2NA==/MzI=
Dr  PUNEETH V,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/NTgzNw==/MzI=
Dr  RADHALAKSHMI K N,STATISTICS AND DATA SCIENCE,Distribution Theory,https://christuniversity.in/statistics_and _data_science/faculty-details/ODYxMg==/OTEy
Dr  RAJESH KANNA R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTkzNg==/NjI=
Dr  RAJESH R,STATISTICS AND DATA SCIENCE,Computer Science,https://christuniversity.in/statistics_and _data_science/faculty-details/Mjg1OA==/OTEy
Dr  RAJU RAMAKRISHNA GONDKAR,COMPUTER SCIENCE (YESHWANTHPUR),Technology Management,https://christuniversity.in/Computer Science/faculty-details/NTk4NQ==/ODA0
Dr  RAMAMURTHY B,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MjIzNA==/NjI=
Dr  RAMESH KUMAR,DATA SCIENCE (Lavasa),Statistics,https://christuniversity.in/Computer Science/faculty-details/NjcyMg==/NjI=
Dr  RAMKUMAR S,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/NTg0NA==/ODA0
Dr  RANJANI MURUGESAN,STATISTICS AND DATA SCIENCE,Statistics,https://christuniversity.in/statistics_and _data_science/faculty-details/Njg1MQ==/OTEy
Dr  RASHMI S,COMPUTER SCIENCE (YESHWANTHPUR),Natural Language Processing,https://christuniversity.in/Computer Science/faculty-details/ODUyMg==/ODA0
Dr  RAVICHANDRAN S,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/MTMw/MTg=
Dr  RAVINDRA G,MATHEMATICS,Mathematics (Graph Theory),https://christuniversity.in/Mathematics/faculty-details/MzMzMg==/MzI=
Dr  RESMI K R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjYwMQ==/NjI=
Dr  RIYA DATTA,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/NDU0/MTc=
Dr  ROHAN PASCAL FERNANDES,PHYSICS AND ELECTRONICS,Physics,https://christuniversity.in/Physics and Electronics/faculty-details/NDgwNg==/MTg=
Dr  ROHINI V,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/MTk2/NjI=
Dr  ROHITH RAJA M,MATHEMATICS (YESHWANTHPUR),Mathematics,https://christuniversity.in/Mathematics/faculty-details/NzQ0Mg==/ODAy
